test,value,expected,severity,note
L_next_vs_cutoff_9.5,0.0,0,CRITICAL,Second candy stays below moving cutoff plane.
R_next_vs_cutoff_9.5,0.0,0,CRITICAL,Second candy stays below moving cutoff plane.
LEFT_DISPENSE_L_SOURCE_BLOCK,373.656037,>0 blocked,CRITICAL,Solid cutoff covers source when shuttle leaves neutral.
LEFT_DISPENSE_R_SOURCE_BLOCK,252.120911,>0 blocked,CRITICAL,Solid cutoff covers source when shuttle leaves neutral.
RIGHT_DISPENSE_L_SOURCE_BLOCK,252.12091,>0 blocked,CRITICAL,Solid cutoff covers source when shuttle leaves neutral.
RIGHT_DISPENSE_R_SOURCE_BLOCK,373.656037,>0 blocked,CRITICAL,Solid cutoff covers source when shuttle leaves neutral.
L_neutral_MAX_feed,0.0,0,CRITICAL,
R_neutral_MAX_feed,0.0,0,CRITICAL,
exit_R_POCKET_0,0.0,0,CRITICAL,
exit_MAX_R_POCKET_0,0.0,0,CRITICAL,
exit_R_POCKET_-2,0.0,0,CRITICAL,
exit_MAX_R_POCKET_-2,0.0,0,CRITICAL,
exit_R_POCKET_-4,0.0,0,CRITICAL,
exit_MAX_R_POCKET_-4,0.0,0,CRITICAL,
exit_R_POCKET_-6,0.0,0,CRITICAL,
exit_MAX_R_POCKET_-6,0.0,0,CRITICAL,
exit_R_POCKET_-8,0.0,0,CRITICAL,
exit_MAX_R_POCKET_-8,0.0,0,CRITICAL,
exit_R_POCKET_-10,0.0,0,CRITICAL,
exit_MAX_R_POCKET_-10,0.0,0,CRITICAL,
exit_R_POCKET_-12,0.0,0,CRITICAL,
exit_MAX_R_POCKET_-12,0.0,0,CRITICAL,
exit_R_POCKET_-14,0.0,0,CRITICAL,
exit_MAX_R_POCKET_-14,0.0,0,CRITICAL,
exit_L_POCKET_0,0.0,0,CRITICAL,
exit_MAX_L_POCKET_0,0.0,0,CRITICAL,
exit_L_POCKET_-2,0.0,0,CRITICAL,
exit_MAX_L_POCKET_-2,0.0,0,CRITICAL,
exit_L_POCKET_-4,0.0,0,CRITICAL,
exit_MAX_L_POCKET_-4,0.0,0,CRITICAL,
exit_L_POCKET_-6,0.0,0,CRITICAL,
exit_MAX_L_POCKET_-6,0.0,0,CRITICAL,
exit_L_POCKET_-8,0.0,0,CRITICAL,
exit_MAX_L_POCKET_-8,0.0,0,CRITICAL,
exit_L_POCKET_-10,0.0,0,CRITICAL,
exit_MAX_L_POCKET_-10,0.0,0,CRITICAL,
exit_L_POCKET_-12,0.0,0,CRITICAL,
exit_MAX_L_POCKET_-12,0.0,0,CRITICAL,
exit_L_POCKET_-14,0.0,0,CRITICAL,
exit_MAX_L_POCKET_-14,0.0,0,CRITICAL,
L_cap_feed_keepout,0.0,0,CRITICAL,
R_cap_feed_keepout,0.0,0,CRITICAL,
screwdriver_0_vs_shuttle_L,0.0,0,CRITICAL,
screwdriver_0_vs_shuttle_C,0.0,0,CRITICAL,
screwdriver_0_vs_shuttle_R,0.0,0,CRITICAL,
screwdriver_1_vs_shuttle_L,0.0,0,CRITICAL,
screwdriver_1_vs_shuttle_C,0.0,0,CRITICAL,
screwdriver_1_vs_shuttle_R,0.0,0,CRITICAL,
screwdriver_2_vs_shuttle_L,0.0,0,CRITICAL,
screwdriver_2_vs_shuttle_C,0.0,0,CRITICAL,
screwdriver_2_vs_shuttle_R,0.0,0,CRITICAL,
screwdriver_3_vs_shuttle_L,0.0,0,CRITICAL,
screwdriver_3_vs_shuttle_C,0.0,0,CRITICAL,
screwdriver_3_vs_shuttle_R,0.0,0,CRITICAL,
thumb_tab_height_above_cap_mm,3.3,>=2.8,HIGH,
bottom_cover_width_mm,59.0,>=59,HIGH,
bottom_cover_depth_mm,30.7,>=28,HIGH,
